QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
3,8,5,6,-5.0,31.0,5.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,5,11,67.0,12.0,3.0,19,1.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,9.0
2,6,5,8,29.0,19.0,12.0,16,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
2,5,4,13,107.0,48.0,5.0,21,1.0,10.0,0.0,34.0,0.0,97.0,0.0,0.0,0.0,0.0
1,2,5,22,10.0,21.0,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
2,5,1,8,-4.0,20.0,3.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,8,-9.0,15.0,4.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,7,8,-1.0,24.0,5.0,16,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,7,11,-2.0,25.0,13.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,1,22,-7.0,25.0,7.0,7,1.0,0.0,0.0,32.0,0.0,0.0,6.0,36.0,1.0,13.0
2,6,2,22,-4.0,25.0,11.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,2,8,2.0,29.0,8.0,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0
2,4,6,13,-9.0,29.0,4.0,21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,16.0
3,8,6,22,66.0,12.0,7.0,7,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,0,-3.0,28.0,6.0,9,1.0,0.0,0.0,20.0,0.0,0.0,2.0,12.0,13.0,46.0
2,6,7,22,19.0,35.0,3.0,7,1.0,0.0,0.0,12.0,0.0,19.0,0.0,0.0,0.0,0.0
2,4,7,13,109.0,16.0,5.0,21,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,22,22.0,24.0,3.0,6,1.0,0.0,0.0,5.0,0.0,21.0,0.0,1.0,1.0,10.0
3,7,2,11,-2.0,16.0,7.0,19,0.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,0.0,5.0
1,3,1,22,-2.0,28.0,6.0,7,1.0,0.0,0.0,18.0,0.0,0.0,2.0,13.0,10.0,45.0
1,1,1,10,3.0,37.0,7.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,5,6,1.0,27.0,12.0,14,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,2,22,5.0,19.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,7,22,12.0,38.0,7.0,7,1.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,11,1.0,29.0,10.0,19,0.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,0.0,5.0
3,9,4,22,17.0,38.0,6.0,6,1.0,0.0,0.0,16.0,0.0,17.0,0.0,1.0,2.0,10.0
2,5,1,8,54.0,25.0,9.0,16,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,4,0,-5.0,41.0,13.0,9,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,3,6,-4.0,39.0,7.0,14,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,2.0,5.0
4,10,5,13,126.0,17.0,6.0,21,1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,7,6,24.0,17.0,9.0,14,1.0,24.0,0.0,1.0,0.0,0.0,2.0,13.0,10.0,45.0
1,1,5,11,14.0,31.0,7.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,6,22,-1.0,19.0,9.0,6,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,8,21.0,24.0,7.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
1,1,7,22,5.0,17.0,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0
3,7,5,22,100.0,11.0,8.0,7,1.0,24.0,0.0,0.0,0.0,56.0,4.0,43.0,1.0,11.0
