"Facility","Date","Hour","ScheduledDepartures","DeparturesFor MetricComputation","DelayedGateDepartures","% DelayedGateDepartures","AverageMinutesOf DelayPer DelayedGateDeparture","ScheduledArrivals","ArrivalsFor MetricComputation","DelayedGateArrivals","% DelayedGateArrivals","AverageMinutesOf DelayPer DelayedGateArrival"
" PHL","01/19/2017","5","6","6","0","0.00","0.00","1","5","0","0.00","0.00"
" PHL","01/19/2017","6","15","16","2","12.50","29.50","2","6","0","0.00","0.00"
" PHL","01/19/2017","7","15","16","1","6.25","25.00","42","42","4","9.52","39.00"
" PHL","01/19/2017","8","48","55","5","9.09","61.20","5","10","2","20.00","18.00"
" PHL","01/19/2017","9","13","15","1","6.67","16.00","41","41","1","2.44","58.00"
" PHL","01/19/2017","10","36","39","4","10.26","43.25","24","26","3","11.54","61.00"
" PHL","01/19/2017","11","36","38","6","15.79","59.67","13","15","1","6.67","29.00"
" PHL","01/19/2017","12","14","19","2","10.53","30.50","39","41","3","7.32","67.00"
" PHL","01/19/2017","13","40","43","6","13.95","56.50","14","17","1","5.88","16.00"
" PHL","01/19/2017","14","9","11","3","27.27","36.00","47","49","5","10.20","65.80"
" PHL","01/19/2017","15","41","45","6","13.33","54.67","18","21","2","9.52","23.50"
" PHL","01/19/2017","16","29","28","3","10.71","19.67","48","51","8","15.69","41.50"
" PHL","01/19/2017","17","33","35","7","20.00","22.86","36","39","3","7.69","27.33"
" PHL","01/19/2017","18","48","48","2","4.17","40.50","18","21","4","19.05","54.50"
" PHL","01/19/2017","19","5","5","0","0.00","0.00","53","54","5","9.26","38.80"
" PHL","01/19/2017","20","49","50","6","12.00","47.33","6","7","1","14.29","39.00"
" PHL","01/19/2017","21","6","8","0","0.00","0.00","10","10","0","0.00","0.00"
" PHL","01/19/2017","22","1","5","0","0.00","0.00","10","10","1","10.00","18.00"
" PHL","01/19/2017","23","0","1","0","0.00","0.00","11","15","1","6.67","28.00"
" PHL","01/20/2017","0","0","0","0","0.00","0.00","5","10","0","0.00","0.00"
